open,high,low,close,adjusted_close,volume,dividend_amount
126.47,128.345,123.125,123.96,108.3669,23784887,0.0
122.21,127.35,120.7,126.62,110.6923,26131658,0.0
124.2,125.0,118.81,124.18,108.5592,20417161,0.0
132.59,132.65,123.61,124.35,108.7078,26022824,0.0
137.45,138.35,132.38,132.69,115.9987,23489144,1.64
134.09,138.82,132.3,137.15,118.4429,27665550,0.0
127.99,137.3361,124.193,134.5,116.1543,52800401,0.0
132.95,133.9,129.27,129.35,111.7068,20520487,0.0
134.47,136.2,127.97,134.21,115.9039,32044685,0.0
134.07,142.2,132.51,134.83,116.4393,36013766,0.0
130.63,134.99,129.95,133.66,115.4289,18454937,0.0
125.72,130.96,124.7,130.63,112.8122,17369625,0.0
123.76,128.64,120.79,127.4,110.0228,35216850,0.0
119.4,125.33,119.4,124.09,107.1643,25031512,0.0
118.62,119.61,116.45,118.84,102.6303,36059651,0.0
116.0,118.81,114.56,115.81,100.0136,17875027,0.0
119.54,120.16,115.27,116.05,100.2209,24272797,0.0
123.985,124.78,118.78,118.96,102.734,29109912,1.64
125.05,127.29,119.9,123.61,105.3205,29791780,0.0
127.53,128.65,124.62,125.1,101.9025,34288134,0.0
144.0,144.94,126.611,127.88,104.167,59731582,0.0
143.5,144.85,139.66,144.61,117.7947,16262687,0.0
142.74,146.0,140.89,143.22,116.6625,27211291,0.0
137.96,143.97,136.44,143.32,116.7439,23824191,0.0
133.9,138.48,132.78,137.49,111.995,18425230,0.0
138.4,138.99,135.05,135.23,110.1541,20130213,0.0
139.65,139.79,137.0,137.02,111.6121,13754250,0.0
139.5,140.94,138.815,139.58,113.6974,13345045,0.0
139.62,140.8,138.4,139.41,113.559,12376600,0.0
143.23,143.74,137.21,139.11,113.3146,16189007,0.0
142.2,143.58,140.34,143.18,116.6299,18462255,1.64
141.45,144.7,141.03,144.09,116.024,16428567,0.0
141.39,143.64,140.79,140.96,113.5037,16120616,0.0
136.45,144.92,136.2089,141.34,113.8097,34786264,0.0
141.43,141.9599,138.59,138.9,111.8449,18659679,0.0
139.99,141.98,137.1,141.52,113.9546,21544898,0.0
147.01,147.5,139.46,140.02,112.7468,29077036,0.0
144.11,147.07,144.06,146.84,118.2384,17129373,0.0
150.71,151.03,143.04,143.12,115.243,23177438,0.0
147.55,152.84,147.17,151.28,121.8136,22042806,0.0
145.0,147.55,143.75,147.42,118.7054,12453017,0.0
145.06,145.39,143.04,143.74,115.7422,18483838,0.0
144.44,145.8,140.92,144.74,116.5474,20546126,0.0
145.8,148.38,141.14,144.68,116.4991,27415665,0.0
143.81,148.515,143.55,145.46,117.1272,31590796,1.64
142.42,148.74,140.55,141.88,112.9708,25588990,0.0
133.6,144.74,132.58,142.43,113.4087,47246234,0.0
135.02,135.37,130.38,133.59,106.37,26831249,0.0
133.64,136.69,133.4,135.73,108.0739,19179860,0.0
135.98,137.07,132.27,133.23,106.0833,18432506,0.0
128.5,136.48,127.89,136.38,108.5915,23647858,0.0
127.77,130.995,127.34,128.9,102.6356,28046462,0.0
122.99,128.64,122.88,127.61,101.6084,29253064,0.0
120.35,123.75,118.755,122.83,97.8024,32662092,0.0
118.5,124.35,118.44,118.93,94.697,30731807,0.0
120.15,120.94,118.38,118.99,94.7448,22567552,0.0
122.62,123.9767,120.09,120.8,96.186,24634263,1.63
119.9,121.81,118.12,121.79,95.6968,28405606,0.0
118.7624,124.79,117.45,119.11,93.591,56437187,0.0
129.28,132.24,117.36,118.61,93.1981,61879427,0.0
127.95,130.16,126.455,128.39,100.8827,29417959,0.0
125.85,131.88,123.04,128.53,100.9927,28434389,0.0
125.1,126.6,123.24,125.88,98.9105,14025419,0.0
123.97,125.21,121.72,124.69,97.9755,14908439,0.0
125.32,126.5728,123.44,125.85,98.8869,25280527,0.0
126.49,127.69,123.61,124.27,97.6454,29511629,0.0
124.1,127.38,122.41,127.2,99.9477,24848983,0.0
117.43,125.313,117.27,124.35,97.7083,19418148,0.0
118.3,118.88,115.89,116.94,91.8859,22498909,0.0
117.88,119.74,113.48,116.85,91.8152,30088820,1.63
112.65,115.65,111.16,114.04,88.3605,25467232,0.0
114.45,114.9,105.92,111.66,86.5165,37250916,0.0
126.8,127.35,112.98,116.0,89.8792,50486636,0.0
128.07,128.25,123.85,125.93,97.5731,21874963,0.0
121.84,135.5,121.05,127.79,99.0143,43381507,0.0
120.57,123.3,118.82,120.57,93.4201,15038264,0.0
120.48,121.59,116.48,118.95,92.1649,18708494,0.0
122.36,125.82,121.76,122.76,95.117,18909398,0.0
122.16,123.7,120.24,121.46,94.1097,16507866,0.0
125.25,129.95,121.24,122.3,94.7605,26310920,0.0
123.79,126.82,123.36,125.07,96.9068,16959794,0.0
125.25,125.59,122.31,123.16,95.4269,15908978,0.0
125.42,130.47,123.91,125.27,97.0618,18634659,0.0
123.5,126.75,122.15,124.96,96.8216,17701697,1.63
124.86,126.34,121.09,122.94,94.0299,20010578,0.0
126.07,132.17,125.14,125.79,96.2097,41040414,0.0
119.78,125.63,117.92,125.11,95.6896,21958911,0.0
121.25,121.85,115.2,118.35,90.5193,22560031,0.0
117.98,121.42,117.37,119.7,91.5518,16478700,0.0
122.12,122.9,115.88,117.19,89.632,35016186,0.0
119.19,127.5,118.29,122.47,93.6704,24867689,0.0
132.27,135.88,117.84,121.91,93.2421,33456639,0.0
124.64,134.23,124.03,132.06,101.0053,19514867,0.0
121.3,126.97,121.01,124.9,95.529,23037728,0.0
119.88,122.47,117.59,118.39,90.5498,19484187,0.0
121.81,124.32,111.81,116.98,89.4714,24229073,0.0
120.82,124.32,119.39,122.99,94.0681,21189890,1.63
125.56,129.31,121.39,121.87,91.9749,26502989,0.0
119.15,125.0,112.06,124.72,94.1257,41252209,0.0
121.63,125.18,114.42,120.12,90.6541,27240371,0.0
110.35,122.92,110.13,121.5,91.6956,23351117,0.0
108.09,113.81,104.52,106.34,80.2544,28882211,0.0
94.6,113.15,90.56,108.03,81.5299,39907532,0.0
98.0,107.41,94.71,95.39,71.9905,47138046,0.0
120.16,124.88,100.81,107.95,81.4695,55580046,0.0
130.75,136.1,124.52,127.73,96.3974,35054761,0.0
145.51,148.05,126.36,130.15,98.2237,38480655,0.0
149.79,151.89,148.84,149.84,113.0837,12493166,0.0
152.97,155.6,149.77,150.7,113.7328,23423757,0.0
