CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access
Papua New Guinea,139469.61555611345,-367702.03870761395,-2.6364311484007406
Paraguay,2478804.1039156727,504977.88133907446,0.203718349724119
Peru,15248233.110912848,4132969.0127522773,0.2710457652824311
Philippines,41090032.80735828,12190876.724227203,0.2966869552375752
Poland,9768913.014196124,8914106.86038372,0.9124973113620517
Portugal,3601293.570346906,3051135.212046047,0.847233126776759
Puerto Rico,905119.8556586675,237193.83427584908,0.262057928342805
Qatar,2059240.5892016748,223462.9381545024,0.10851715886249813
Republic of Congo,1328096.556052802,-55041.109794616714,-0.04144360554491824
Romania,4740023.836752251,2648676.579441611,0.5587897172383041
Russia,60796831.87484751,45855949.04253189,0.7542489900942212
Rwanda,1391298.2411427551,600017.4998035417,0.43126447088060144
Saudi Arabia,5848904.757385673,23433.221081973345,0.004006428904895941
Senegal,4475086.666272026,1965217.217024211,0.4391461805277923
Serbia,2861950.366812868,2391256.2168418416,0.8355337830350978
Sierra Leone,2285864.913644381,110588.1064376831,0.04837910839681738
Singapore,5821745.378072472,5603740.384585073,0.9625533273391667
Slovakia,724117.655343816,658528.1068024497,0.9094214205974249
Slovenia,302806.1018212441,279956.041731,0.924538970804052
Solomon Islands,85529.75483813857,3641.3874988555926,0.04257451112477481
Somalia,964525.6429432794,-290785.0188884735,-0.30147982172991705
South Africa,28289240.94136118,4959341.373409875,0.1753083931693237
South Korea,36562993.33941011,27687599.15377439,0.7572574514551792
South Sudan,22381.56489980034,-529808.30238235,-23.67163800897033
Spain,22418061.26870069,20307749.666241672,0.9058655618269114
Sri Lanka,6697138.824632427,1011882.6942116001,0.1510917901970081
Sudan,4196384.395476309,-627415.3546902521,-0.14951331802839707
Suriname,177854.28641286475,8014.661335468291,0.04506307661803177
Swaziland,67293.01778185363,-6453.0615196228055,-0.09589496402943234
Sweden,3002664.824854507,2609948.354258008,0.8692106866721203
Switzerland,2740829.5538409916,2682342.8743840964,0.9786609570905523
Syria,5897986.007883972,539932.7570221423,0.09154527601462634
São Tomé and Príncipe,73865.20910215382,32272.587532043464,0.4369118821204614
Taiwan,17900958.428681996,16018109.82857633,0.8948185591510647
Tajikistan,1807811.742002856,296991.04299116146,0.164282063276195
Tanzania,12544993.336979337,1267183.0834395888,0.10101106069975077
Thailand,21406683.593940027,7033382.344564189,0.32856011131753515
Timor-Leste,297858.86836469156,7016.225032806396,0.023555535114085945
Togo,2562142.1570966733,788632.9593687003,0.307802187003687
Trinidad and Tobago,379635.08841729176,-17772.27190113068,-0.046814091856534464
Tunisia,4430573.374448542,1632965.565160753,0.3685675480691035
Turkey,46254946.244808175,21320087.607836008,0.460925573126767
Turkmenistan,883416.3330135053,423375.4043232199,0.47924787951226105
Uganda,5580728.775462463,62797.78632259365,0.01125261392359813
Ukraine,16684380.057393832,12013350.620615268,0.7200357807296199
United Arab Emirates,2414397.8303627884,585846.6753315942,0.24264711803670094
United Kingdom,39772780.862317115,34848691.00531267,0.876194478981735
United States,154706146.42469722,59738291.81166407,0.3861403906194607
Uruguay,1711448.8821322434,1466160.1902885295,0.8566777574226372
Uzbekistan,5981145.716167733,254319.03778386087,0.04252012070135775
Venezuela,10198443.16050514,1213730.7118808127,0.11901137191028824
Vietnam,33768209.26451886,10284317.696870826,0.30455620599570343
Western Sahara,100920.05647695027,-19998.0,-0.1981568451120265
Yemen,5047756.470084145,-798543.0409374237,-0.15819761624199596
Zambia,4190226.6436709748,-248650.35216200343,-0.05934054964248086
Zimbabwe,2717270.06630039,-218200.73331785202,-0.08030145255857328
