IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Age-standardized prevalence of obesity among adults (18+ years) (%),Central African Republic,SEX_BTSX,9.296139717
Life expectancy at birth (years),Central African Republic,SEX_BTSX,52.30772781
Life expectancy at birth (years),Central African Republic,SEX_MLE,49.57149124
Life expectancy at birth (years),Central African Republic,SEX_FMLE,55.37900162
Age-standardized prevalence of obesity among adults (18+ years) (%),Chad,SEX_BTSX,6.692279816
Life expectancy at birth (years),Chad,SEX_FMLE,60.66775513
Life expectancy at birth (years),Chad,SEX_BTSX,59.08581543
Life expectancy at birth (years),Chad,SEX_MLE,57.53495789
Age-standardized prevalence of obesity among adults (18+ years) (%),Chile,SEX_BTSX,38.91461182
Life expectancy at birth (years),Chile,SEX_BTSX,79.02404785
Life expectancy at birth (years),Chile,SEX_FMLE,81.42331696
Life expectancy at birth (years),Chile,SEX_MLE,76.68998718
Age-standardized prevalence of obesity among adults (18+ years) (%),China,SEX_BTSX,8.279529572
Life expectancy at birth (years),China,SEX_MLE,74.95413208
Life expectancy at birth (years),China,SEX_FMLE,80.52324677
Life expectancy at birth (years),China,SEX_BTSX,77.61619568
Age-standardized prevalence of obesity among adults (18+ years) (%),Colombia,SEX_BTSX,23.61547089
Life expectancy at birth (years),Colombia,SEX_FMLE,77.62155914
Life expectancy at birth (years),Colombia,SEX_MLE,71.55393219
Life expectancy at birth (years),Colombia,SEX_BTSX,74.53297424
Age-standardized prevalence of obesity among adults (18+ years) (%),Comoros,SEX_BTSX,16.27774048
Life expectancy at birth (years),Comoros,SEX_FMLE,68.72786713
Life expectancy at birth (years),Comoros,SEX_BTSX,67.49703979
Life expectancy at birth (years),Comoros,SEX_MLE,66.30130768
Age-standardized prevalence of obesity among adults (18+ years) (%),Congo,SEX_BTSX,8.537280083
Life expectancy at birth (years),Congo,SEX_BTSX,63.17262268
Life expectancy at birth (years),Congo,SEX_MLE,62.53595734
Life expectancy at birth (years),Congo,SEX_FMLE,63.79450226
Age-standardized prevalence of obesity among adults (18+ years) (%),Cook Islands,SEX_BTSX,68.92372131
Age-standardized prevalence of obesity among adults (18+ years) (%),Costa Rica,SEX_BTSX,31.38760948
Life expectancy at birth (years),Costa Rica,SEX_MLE,75.87686157
Life expectancy at birth (years),Costa Rica,SEX_BTSX,78.63053131
Life expectancy at birth (years),Costa Rica,SEX_FMLE,81.50602722
Age-standardized prevalence of obesity among adults (18+ years) (%),Côte d'Ivoire,SEX_BTSX,11.6430397
Life expectancy at birth (years),Côte d'Ivoire,SEX_FMLE,65.98000336
Life expectancy at birth (years),Côte d'Ivoire,SEX_MLE,61.3910408
Life expectancy at birth (years),Côte d'Ivoire,SEX_BTSX,63.51740646
Age-standardized prevalence of obesity among adults (18+ years) (%),Croatia,SEX_BTSX,30.61657906
Life expectancy at birth (years),Croatia,SEX_FMLE,80.01118469
Life expectancy at birth (years),Croatia,SEX_BTSX,76.86167908
Life expectancy at birth (years),Croatia,SEX_MLE,73.77732086
Age-standardized prevalence of obesity among adults (18+ years) (%),Cuba,SEX_BTSX,21.76092911
Life expectancy at birth (years),Cuba,SEX_BTSX,73.67333221
Life expectancy at birth (years),Cuba,SEX_FMLE,76.50608826
Life expectancy at birth (years),Cuba,SEX_MLE,71.12595367
Age-standardized prevalence of obesity among adults (18+ years) (%),Cyprus,SEX_BTSX,22.93652916
Life expectancy at birth (years),Cyprus,SEX_MLE,79.8661499
Life expectancy at birth (years),Cyprus,SEX_FMLE,83.96356964
Life expectancy at birth (years),Cyprus,SEX_BTSX,81.91274261
Age-standardized prevalence of obesity among adults (18+ years) (%),Czechia,SEX_BTSX,25.9795208
Life expectancy at birth (years),Czechia,SEX_FMLE,80.27144623
Life expectancy at birth (years),Czechia,SEX_MLE,74.01309204
Life expectancy at birth (years),Czechia,SEX_BTSX,77.07730103
Age-standardized prevalence of obesity among adults (18+ years) (%),Democratic People's Republic of Korea,SEX_BTSX,10.79609966
Life expectancy at birth (years),Democratic People's Republic of Korea,SEX_FMLE,75.64984131
Life expectancy at birth (years),Democratic People's Republic of Korea,SEX_BTSX,72.64315033
Life expectancy at birth (years),Democratic People's Republic of Korea,SEX_MLE,69.75508118
Age-standardized prevalence of obesity among adults (18+ years) (%),Democratic Republic of the Congo,SEX_BTSX,6.640550137
Life expectancy at birth (years),Democratic Republic of the Congo,SEX_BTSX,61.62552643
Life expectancy at birth (years),Democratic Republic of the Congo,SEX_MLE,59.42621613
Life expectancy at birth (years),Democratic Republic of the Congo,SEX_FMLE,63.91177368
Age-standardized prevalence of obesity among adults (18+ years) (%),Denmark,SEX_BTSX,13.27851009
Life expectancy at birth (years),Denmark,SEX_BTSX,81.18400574
Life expectancy at birth (years),Denmark,SEX_MLE,79.46414185
Life expectancy at birth (years),Denmark,SEX_FMLE,82.90091705
Age-standardized prevalence of obesity among adults (18+ years) (%),Djibouti,SEX_BTSX,11.34677982
Life expectancy at birth (years),Djibouti,SEX_MLE,63.04217911
Life expectancy at birth (years),Djibouti,SEX_BTSX,64.87226868
Life expectancy at birth (years),Djibouti,SEX_FMLE,66.72945404
Age-standardized prevalence of obesity among adults (18+ years) (%),Dominica,SEX_BTSX,31.34077072
Age-standardized prevalence of obesity among adults (18+ years) (%),Dominican Republic,SEX_BTSX,29.34004974
Life expectancy at birth (years),Dominican Republic,SEX_FMLE,76.75536346
Life expectancy at birth (years),Dominican Republic,SEX_MLE,70.16326904
Life expectancy at birth (years),Dominican Republic,SEX_BTSX,73.32102966
Age-standardized prevalence of obesity among adults (18+ years) (%),Eastern Mediterranean Region,SEX_BTSX,28.58876991
Life expectancy at birth (years),Eastern Mediterranean Region,SEX_FMLE,70.12342072
Life expectancy at birth (years),Eastern Mediterranean Region,SEX_MLE,66.92933655
Life expectancy at birth (years),Eastern Mediterranean Region,SEX_BTSX,68.48743439
Age-standardized prevalence of obesity among adults (18+ years) (%),Ecuador,SEX_BTSX,27.37854958
Life expectancy at birth (years),Ecuador,SEX_FMLE,77.20480347
Life expectancy at birth (years),Ecuador,SEX_BTSX,73.95801544
Life expectancy at birth (years),Ecuador,SEX_MLE,70.95068359
Age-standardized prevalence of obesity among adults (18+ years) (%),Egypt,SEX_BTSX,44.27019882
Life expectancy at birth (years),Egypt,SEX_BTSX,69.10821533
Life expectancy at birth (years),Egypt,SEX_FMLE,71.70874023
Life expectancy at birth (years),Egypt,SEX_MLE,66.68998718
Age-standardized prevalence of obesity among adults (18+ years) (%),El Salvador,SEX_BTSX,30.88002968
Life expectancy at birth (years),El Salvador,SEX_FMLE,76.24875641
Life expectancy at birth (years),El Salvador,SEX_MLE,66.76773071
Life expectancy at birth (years),El Salvador,SEX_BTSX,71.66703796
Age-standardized prevalence of obesity among adults (18+ years) (%),Equatorial Guinea,SEX_BTSX,17.67374039
Life expectancy at birth (years),Equatorial Guinea,SEX_FMLE,63.21443939
Life expectancy at birth (years),Equatorial Guinea,SEX_MLE,60.17118835
Life expectancy at birth (years),Equatorial Guinea,SEX_BTSX,61.60542297
Age-standardized prevalence of obesity among adults (18+ years) (%),Eritrea,SEX_BTSX,4.832570076
Life expectancy at birth (years),Eritrea,SEX_FMLE,66.23751068
Life expectancy at birth (years),Eritrea,SEX_MLE,60.90835953
Life expectancy at birth (years),Eritrea,SEX_BTSX,63.57308578
Age-standardized prevalence of obesity among adults (18+ years) (%),Estonia,SEX_BTSX,22.16319084
Life expectancy at birth (years),Estonia,SEX_FMLE,81.19586182
Life expectancy at birth (years),Estonia,SEX_MLE,72.82558441
Life expectancy at birth (years),Estonia,SEX_BTSX,77.13131714
Age-standardized prevalence of obesity among adults (18+ years) (%),Eswatini,SEX_BTSX,30.0866909
Life expectancy at birth (years),Eswatini,SEX_FMLE,57.86551285
Life expectancy at birth (years),Eswatini,SEX_BTSX,54.59267044
Life expectancy at birth (years),Eswatini,SEX_MLE,51.64387131
Age-standardized prevalence of obesity among adults (18+ years) (%),Ethiopia,SEX_BTSX,2.822770119
Life expectancy at birth (years),Ethiopia,SEX_MLE,65.96191406
Life expectancy at birth (years),Ethiopia,SEX_FMLE,69.74860382
Life expectancy at birth (years),Ethiopia,SEX_BTSX,67.83908844
Age-standardized prevalence of obesity among adults (18+ years) (%),European Region,SEX_BTSX,22.64539909
Life expectancy at birth (years),European Region,SEX_BTSX,76.28729248
Life expectancy at birth (years),European Region,SEX_MLE,73.25065613
Life expectancy at birth (years),European Region,SEX_FMLE,79.29950714
Age-standardized prevalence of obesity among adults (18+ years) (%),Fiji,SEX_BTSX,33.83843994
Life expectancy at birth (years),Fiji,SEX_FMLE,67.67014313
Life expectancy at birth (years),Fiji,SEX_BTSX,65.50058746
Life expectancy at birth (years),Fiji,SEX_MLE,63.49181747
Age-standardized prevalence of obesity among adults (18+ years) (%),Finland,SEX_BTSX,21.50906944
Life expectancy at birth (years),Finland,SEX_BTSX,81.53419495
Life expectancy at birth (years),Finland,SEX_MLE,79.00774384
Life expectancy at birth (years),Finland,SEX_FMLE,84.06163788
Age-standardized prevalence of obesity among adults (18+ years) (%),France,SEX_BTSX,9.698479652
Life expectancy at birth (years),France,SEX_MLE,79.07624054
Life expectancy at birth (years),France,SEX_BTSX,81.92274475
Life expectancy at birth (years),France,SEX_FMLE,84.68614197
Age-standardized prevalence of obesity among adults (18+ years) (%),Gabon,SEX_BTSX,21.01852036
Life expectancy at birth (years),Gabon,SEX_MLE,62.68143845
Life expectancy at birth (years),Gabon,SEX_BTSX,65.09381104
Life expectancy at birth (years),Gabon,SEX_FMLE,67.9184494
Age-standardized prevalence of obesity among adults (18+ years) (%),Gambia,SEX_BTSX,14.93299961
Life expectancy at birth (years),Gambia,SEX_BTSX,64.21396637
Life expectancy at birth (years),Gambia,SEX_MLE,62.22161865
Life expectancy at birth (years),Gambia,SEX_FMLE,66.26215363
Age-standardized prevalence of obesity among adults (18+ years) (%),Georgia,SEX_BTSX,34.65962982
Life expectancy at birth (years),Georgia,SEX_BTSX,71.24038696
Life expectancy at birth (years),Georgia,SEX_MLE,66.85416412
Life expectancy at birth (years),Georgia,SEX_FMLE,75.59980774
Age-standardized prevalence of obesity among adults (18+ years) (%),Germany,SEX_BTSX,20.40370941
Life expectancy at birth (years),Germany,SEX_MLE,78.14950562
Life expectancy at birth (years),Germany,SEX_BTSX,80.4914093
Life expectancy at birth (years),Germany,SEX_FMLE,82.85917664
Age-standardized prevalence of obesity among adults (18+ years) (%),Ghana,SEX_BTSX,12.9313097
Life expectancy at birth (years),Ghana,SEX_BTSX,66.10178375
Life expectancy at birth (years),Ghana,SEX_FMLE,68.6049881
Life expectancy at birth (years),Ghana,SEX_MLE,63.69049072
Age-standardized prevalence of obesity among adults (18+ years) (%),GLOBAL,SEX_BTSX,15.78522968
Life expectancy at birth (years),Global,SEX_BTSX,71.36869812
Life expectancy at birth (years),Global,SEX_FMLE,73.95752716
Life expectancy at birth (years),Global,SEX_MLE,68.89192963
Age-standardized prevalence of obesity among adults (18+ years) (%),Greece,SEX_BTSX,27.98150063
Life expectancy at birth (years),Greece,SEX_FMLE,81.95119476
Life expectancy at birth (years),Greece,SEX_MLE,77.25505829
Life expectancy at birth (years),Greece,SEX_BTSX,79.59784698
Age-standardized prevalence of obesity among adults (18+ years) (%),Grenada,SEX_BTSX,30.25213051
Life expectancy at birth (years),Grenada,SEX_BTSX,72.77322388
Life expectancy at birth (years),Grenada,SEX_FMLE,75.20123291
Life expectancy at birth (years),Grenada,SEX_MLE,70.5231781
Age-standardized prevalence of obesity among adults (18+ years) (%),Guatemala,SEX_BTSX,26.81023979
Life expectancy at birth (years),Guatemala,SEX_FMLE,71.89797211
Life expectancy at birth (years),Guatemala,SEX_MLE,65.64514923
Life expectancy at birth (years),Guatemala,SEX_BTSX,68.69573975
Age-standardized prevalence of obesity among adults (18+ years) (%),Guinea,SEX_BTSX,9.534179688
Life expectancy at birth (years),Guinea,SEX_FMLE,62.47833633
Life expectancy at birth (years),Guinea,SEX_BTSX,61.26250839
Life expectancy at birth (years),Guinea,SEX_MLE,59.94664383
Age-standardized prevalence of obesity among adults (18+ years) (%),Guinea-Bissau,SEX_BTSX,11.47050953
Life expectancy at birth (years),Guinea-Bissau,SEX_BTSX,58.62801743
Life expectancy at birth (years),Guinea-Bissau,SEX_FMLE,61.10224915
Life expectancy at birth (years),Guinea-Bissau,SEX_MLE,56.07573318
Age-standardized prevalence of obesity among adults (18+ years) (%),Guyana,SEX_BTSX,28.45774078
Life expectancy at birth (years),Guyana,SEX_MLE,62.97730255
Life expectancy at birth (years),Guyana,SEX_FMLE,69.31385803
Life expectancy at birth (years),Guyana,SEX_BTSX,66.07775116
Age-standardized prevalence of obesity among adults (18+ years) (%),Haiti,SEX_BTSX,10.68922997
Life expectancy at birth (years),Haiti,SEX_FMLE,63.20708466
Life expectancy at birth (years),Haiti,SEX_BTSX,62.45638657
Life expectancy at birth (years),Haiti,SEX_MLE,61.6996727
Age-standardized prevalence of obesity among adults (18+ years) (%),Honduras,SEX_BTSX,29.4924202
Life expectancy at birth (years),Honduras,SEX_BTSX,68.96309662
Life expectancy at birth (years),Honduras,SEX_MLE,67.43759155
Life expectancy at birth (years),Honduras,SEX_FMLE,70.53263092
Age-standardized prevalence of obesity among adults (18+ years) (%),Hungary,SEX_BTSX,31.7039299
Life expectancy at birth (years),Hungary,SEX_BTSX,74.39546967
Life expectancy at birth (years),Hungary,SEX_FMLE,77.82603455
Life expectancy at birth (years),Hungary,SEX_MLE,70.94422913
Age-standardized prevalence of obesity among adults (18+ years) (%),Iceland,SEX_BTSX,21.23440933
Life expectancy at birth (years),Iceland,SEX_MLE,81.32974243
Life expectancy at birth (years),Iceland,SEX_BTSX,82.57766724
Life expectancy at birth (years),Iceland,SEX_FMLE,83.88967133
Age-standardized prevalence of obesity among adults (18+ years) (%),India,SEX_BTSX,7.267889977
Life expectancy at birth (years),India,SEX_FMLE,69.01961517
Life expectancy at birth (years),India,SEX_MLE,65.77192688
Life expectancy at birth (years),India,SEX_BTSX,67.30780792
Age-standardized prevalence of obesity among adults (18+ years) (%),Indonesia,SEX_BTSX,11.22786999
Life expectancy at birth (years),Indonesia,SEX_MLE,66.41326904
Life expectancy at birth (years),Indonesia,SEX_BTSX,68.2616806
Life expectancy at birth (years),Indonesia,SEX_FMLE,70.17754364
Age-standardized prevalence of obesity among adults (18+ years) (%),Iran (Islamic Republic of),SEX_BTSX,24.26659012
Life expectancy at birth (years),Iran (Islamic Republic of),SEX_MLE,73.08422089
Life expectancy at birth (years),Iran (Islamic Republic of),SEX_FMLE,76.40135956
Life expectancy at birth (years),Iran (Islamic Republic of),SEX_BTSX,74.71077728
Age-standardized prevalence of obesity among adults (18+ years) (%),Iraq,SEX_BTSX,40.48524857
Life expectancy at birth (years),Iraq,SEX_FMLE,73.91197205
Life expectancy at birth (years),Iraq,SEX_MLE,68.88970947
Life expectancy at birth (years),Iraq,SEX_BTSX,71.46632385
Age-standardized prevalence of obesity among adults (18+ years) (%),Ireland,SEX_BTSX,28.34654999
Life expectancy at birth (years),Ireland,SEX_MLE,79.86626434
Life expectancy at birth (years),Ireland,SEX_BTSX,81.60163116
Life expectancy at birth (years),Ireland,SEX_FMLE,83.35086823
Age-standardized prevalence of obesity among adults (18+ years) (%),Israel,SEX_BTSX,22.4907093
Life expectancy at birth (years),Israel,SEX_FMLE,82.09316254
Life expectancy at birth (years),Israel,SEX_BTSX,81.74464417
Life expectancy at birth (years),Israel,SEX_MLE,82.38661957
Age-standardized prevalence of obesity among adults (18+ years) (%),Italy,SEX_BTSX,17.29186058
Life expectancy at birth (years),Italy,SEX_BTSX,82.19747162
Life expectancy at birth (years),Italy,SEX_FMLE,84.32794952
Life expectancy at birth (years),Italy,SEX_MLE,79.97563171
Age-standardized prevalence of obesity among adults (18+ years) (%),Jamaica,SEX_BTSX,33.80701828
Life expectancy at birth (years),Jamaica,SEX_BTSX,70.14394379
Life expectancy at birth (years),Jamaica,SEX_MLE,67.6437912
Life expectancy at birth (years),Jamaica,SEX_FMLE,72.7726059
Age-standardized prevalence of obesity among adults (18+ years) (%),Japan,SEX_BTSX,5.539299965
Life expectancy at birth (years),Japan,SEX_BTSX,84.46067047
Life expectancy at birth (years),Japan,SEX_FMLE,87.15803528
Life expectancy at birth (years),Japan,SEX_MLE,81.70918274
Age-standardized prevalence of obesity among adults (18+ years) (%),Jordan,SEX_BTSX,38.50699997
