OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12905,YEM,Yemen,Al Kananah,Al Kananah; Radam; `Aqabat,375.321017026901131,-9999.000000000000000,-9999.000000000000000,0.036952720931040,0.000083702904346
12906,YEM,Yemen,Mizdid,Mizdid; Qaryat Wadi as Sayl; Darb Sa`d Allah; Bayt Man`ayn; Bayt Man`ayn; Bayt Qirah; `Afit,788.823946118355025,-9999.000000000000000,-9999.000000000000000,0.053521447952605,0.000167541979241
12907,YEM,Yemen,Menacha,Menacha,1823.748194217681885,-9999.000000000000000,-9999.000000000000000,0.073838128927428,0.000250742581044
12908,YEM,Yemen,Khamir,Khamir,6140.050810813903809,-9999.000000000000000,-9999.000000000000000,0.074039644958882,0.000335776406622
12909,YEM,Yemen,`Ozlat Masawar,`Ozlat Masawar; `Ozlat Qadrah; `Ozlat Nawfan; `Ozlat Kahlah,2220.936292648314520,-9999.000000000000000,-9999.000000000000000,0.073735314462586,0.000250170961545
12910,YEM,Yemen,Amran,Amran,61638.537127971554582,-9999.000000000000000,-9999.000000000000000,0.164486184945460,0.001257119134133
12911,YEM,Yemen,Wadi Mawthab,Wadi Mawthab,2903.683203697205045,-9999.000000000000000,-9999.000000000000000,0.036747656627053,0.000082953891646
12912,YEM,Yemen,An Najd,An Najd; Al Ya`ar; Suq as Salf; Raymah; Al Mahattah; Al Jariri; Al Hayfah; Al Qal`ah; Al Mi`zab; Al `Abrah; Al Mahattah; Al Ma'khadh; Bayt Sill; Al Hijrah; هجرة العين ; Bayt Umm Jalli; Jawmarah; Bani Dahman,1358.412528038025130,-9999.000000000000000,-9999.000000000000000,0.053468359970653,0.000167264812691
12913,YEM,Yemen,Rahabah,Rahabah; As Safiyah; Huwaydah; Shatt al Hasy; Qaryat ash Shamiyah; Al Kharabah; Al Mazjarah; Al Burayhah; Hasb al Maqbuhi; Qarqarah; Bahtah; Al Qutnah; Al Kamb; Al Mizjajah; Ashamilah; Al Mazr; Al Mizjajah; As Sayfiyah; Al Burqah; Al Madafin; Ad Daym; Al,559.059118568897361,-9999.000000000000000,-9999.000000000000000,0.057061891141270,0.000165981385386
12914,YEM,Yemen,Zulaf,Zulaf; Hazaz; Al Buruh; Ad Dan; Hassa'; Bani al Haddad; Suq ash Shatt; Al Hajib; Sabala'; Qal`at Shu`af; Qal`at Shu`af; Ar Rawdah; Makhdurah; Quwahah; Al Mi`shar; Al Haqibah,5135.629909992222565,-9999.000000000000000,-9999.000000000000000,0.110525056464585,0.000416474575992
