CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Burundi,1386951.7847740648,-401500.1734008789,-0.2894838723368336,Age-standardized prevalence of obesity among adults (18+ years) (%),Burundi,SEX_BTSX,5.021910191
Burundi,1386951.7847740648,-401500.1734008789,-0.2894838723368336,Life expectancy at birth (years),Burundi,SEX_BTSX,64.00695038
Burundi,1386951.7847740648,-401500.1734008789,-0.2894838723368336,Life expectancy at birth (years),Burundi,SEX_MLE,62.04709244
Burundi,1386951.7847740648,-401500.1734008789,-0.2894838723368336,Life expectancy at birth (years),Burundi,SEX_FMLE,65.94968414
Cambodia,2685671.9736685804,840241.9636540436,0.3128609792603554,Age-standardized prevalence of obesity among adults (18+ years) (%),Cambodia,SEX_BTSX,4.363880157
Cambodia,2685671.9736685804,840241.9636540436,0.3128609792603554,Life expectancy at birth (years),Cambodia,SEX_FMLE,71.45082092
Cambodia,2685671.9736685804,840241.9636540436,0.3128609792603554,Life expectancy at birth (years),Cambodia,SEX_MLE,66.3507309
Cambodia,2685671.9736685804,840241.9636540436,0.3128609792603554,Life expectancy at birth (years),Cambodia,SEX_BTSX,68.92399597
Cameroon,6613924.556585619,-162025.96207118026,-0.0244977033960642,Age-standardized prevalence of obesity among adults (18+ years) (%),Cameroon,SEX_BTSX,14.88249969
Cameroon,6613924.556585619,-162025.96207118026,-0.0244977033960642,Life expectancy at birth (years),Cameroon,SEX_BTSX,61.76934814
Cameroon,6613924.556585619,-162025.96207118026,-0.0244977033960642,Life expectancy at birth (years),Cameroon,SEX_MLE,59.88696289
Cameroon,6613924.556585619,-162025.96207118026,-0.0244977033960642,Life expectancy at birth (years),Cameroon,SEX_FMLE,63.7244072
Canada,21097944.081372708,16613059.194370424,0.7874255012855982,Age-standardized prevalence of obesity among adults (18+ years) (%),Canada,SEX_BTSX,26.22711945
Canada,21097944.081372708,16613059.194370424,0.7874255012855982,Life expectancy at birth (years),Canada,SEX_BTSX,81.58276367
Canada,21097944.081372708,16613059.194370424,0.7874255012855982,Life expectancy at birth (years),Canada,SEX_MLE,79.37275696
Canada,21097944.081372708,16613059.194370424,0.7874255012855982,Life expectancy at birth (years),Canada,SEX_FMLE,83.81497955
Central African Republic,879941.4457638292,-51136.647637844086,-0.0581136936827144,Age-standardized prevalence of obesity among adults (18+ years) (%),Central African Republic,SEX_BTSX,9.296139717
Central African Republic,879941.4457638292,-51136.647637844086,-0.0581136936827144,Life expectancy at birth (years),Central African Republic,SEX_BTSX,52.30772781
Central African Republic,879941.4457638292,-51136.647637844086,-0.0581136936827144,Life expectancy at birth (years),Central African Republic,SEX_MLE,49.57149124
Central African Republic,879941.4457638292,-51136.647637844086,-0.0581136936827144,Life expectancy at birth (years),Central African Republic,SEX_FMLE,55.37900162
Chad,890734.1088368318,-402796.5441186429,-0.4522073872804042,Age-standardized prevalence of obesity among adults (18+ years) (%),Chad,SEX_BTSX,6.692279816
Chad,890734.1088368318,-402796.5441186429,-0.4522073872804042,Life expectancy at birth (years),Chad,SEX_FMLE,60.66775513
Chad,890734.1088368318,-402796.5441186429,-0.4522073872804042,Life expectancy at birth (years),Chad,SEX_BTSX,59.08581543
Chad,890734.1088368318,-402796.5441186429,-0.4522073872804042,Life expectancy at birth (years),Chad,SEX_MLE,57.53495789
