CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access
Guyana,113851.21725630753,19998.0,17.56502959031128
Haiti,4196959.369681573,431060.31720471394,10.270776513078776
Honduras,2006378.769168418,226703.82188796994,11.299153747621226
Hungary,2692514.0787720624,2637359.9561055796,97.95157532874865
Iceland,121146.3160974982,115026.259044528,94.94821035412681
India,349410010.5147836,104601917.18465096,29.936725919941903
Indonesia,108900563.73474489,15299001.640581122,14.048597285360012
Iran,24821783.151887927,10609965.52938904,42.744574249421134
Iraq,9024144.084419683,816728.5538506507,9.050482197649576
Ireland,1413269.9635733138,1381451.7395042197,97.7486096153459
Israel,3703422.4630591795,3423652.6799354493,92.44564221569719
Italy,20989614.2431329,16662584.257764274,79.38489990694191
Jamaica,895668.3248556835,88717.75377082825,9.905201658786257
Japan,83987933.29293102,63597546.02902285,75.72224191683455
Jordan,5420735.595890094,357000.7344913481,6.58583559696252
Kazakhstan,3396788.135652733,945676.6121620506,27.840317805994914
Kenya,9060127.804365875,1604750.3511503947,17.712226425515773
Kuwait,2779228.109144207,120154.71014928816,4.323312280627687
Kyrgyzstan,1617217.411728865,666370.9900476354,41.204787013470266
Laos,560554.5453677777,163081.12807083115,29.092820568216826
Latvia,499943.5433585675,435466.430967808,87.10312129293457
Lebanon,4103977.8929593633,454554.5535363437,11.075950343596174
Lesotho,197187.7552232741,27239.692469596863,13.81408923629846
Liberia,1614343.2535381883,49915.523142814636,3.092001842446691
Libya,1911192.7921263524,257465.2606310847,13.47144368123293
Lithuania,527808.1612839997,452483.18699228787,85.72872118754879
Luxembourg,129604.48268473159,128991.35420489318,99.52692340022693
Macedonia,303506.2122620348,119975.39137136935,39.5297975870713
Madagascar,2933043.992426543,1386576.6154775566,47.27432043494257
Malawi,2372125.7663073824,132544.87114474183,5.5875988123121525
Malaysia,13498076.920298802,6286736.223940189,46.57505110588021
Maldives,174181.61441361904,174179.08052063,99.99854525806437
Mali,5148723.268456759,3297297.2062811786,64.04106483022318
Malta,276743.3036687375,224920.6459653378,81.27410599772575
Mauritania,1324117.0837578496,443023.14838516695,33.458004116060906
Mauritius,500548.0484963673,215145.52736490956,42.98199303966939
Mexico,72386813.50369239,12394215.129246285,17.122200203789973
Moldova,487074.3208063247,328395.9713253976,67.4221483862578
Mongolia,836605.929500338,175539.5707740781,20.982348389392712
Montenegro,34563.45836544039,30540.68341827388,88.3611908720661
Morocco,16815115.710948925,7617316.937453401,45.30041343987596
Mozambique,4847618.992821979,2546259.246556742,52.525977192660314
Myanmar,11386890.94404436,4185003.162186617,36.75281674999691
Namibia,482639.0516930647,369957.1680239098,76.6529701080187
Nepal,8124522.462822015,1220097.1532871705,15.01746298161351
Netherlands,7588469.797120883,6811839.502582614,89.7656534808516
New Caledonia,44916.71642351151,42075.86273813243,93.67528637090658
New Zealand,2118950.2471593567,1630218.3975776443,76.9351899490372
Nicaragua,1246001.8460852532,855841.4286527669,68.68701128667581
Niger,1194457.885289016,508629.66254687315,42.58246932028106
Nigeria,54472446.82960009,6048155.624482628,11.10314659336376
North Korea,3968788.3118215846,1468072.1031212797,36.99043606705916
Norway,1036915.3419058945,876329.1873547968,84.51308915384226
Oman,583559.9378261564,94444.43735313416,16.184187986747872
Pakistan,61259121.40244784,7575957.931589117,12.367069194182715
Palestina,3409085.848687225,776952.3492816102,22.79063607567407
Panama,1858278.005397709,683318.0662477005,36.7715736968784
Paraguay,2478804.1039156727,544973.8813390745,21.98535497331959
Peru,15248233.110912848,4712911.012752278,30.907915549765196
Philippines,41090032.80735828,12810814.724227203,31.177426370740402
Poland,9768913.014196124,8914106.86038372,91.24973113620517
Portugal,3601293.570346906,3051135.212046047,84.72331267767589
Puerto Rico,905119.8556586675,257191.83427584908,28.415223980329902
Qatar,2059240.5892016748,283456.9381545024,13.765119998163636
Republic of Congo,1328096.556052802,104942.89020538329,7.901751550149417
Romania,4740023.836752251,2648676.579441611,55.878971723830404
Russia,60796831.87484751,46115923.04253189,75.85251010688057
Rwanda,1391298.2411427551,700007.4998035417,50.313259882265385
