,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2022-05-31,46.7300,46.8900,41.3700,44.2200,39.8390,270853198,0.0000
2022-04-29,48.5500,50.9700,46.4900,46.6000,41.9832,142992160,0.0000
2022-03-31,45.2900,49.2200,44.7300,48.3200,43.5328,123494967,0.2685
2022-02-28,47.3400,47.9345,43.0000,45.0700,40.3727,125568186,0.0000
2022-01-31,51.9800,51.9800,44.8000,47.3400,42.4062,174937058,0.0000
2021-12-31,47.9000,52.1700,46.7400,51.8100,46.4103,151297203,0.4254
2021-11-30,47.9400,49.1950,47.1450,47.3900,42.0878,131668888,0.0000
2021-10-29,44.7400,48.4000,43.9500,47.8200,42.4696,135177265,0.0000
2021-09-30,47.7500,48.8050,44.4500,44.4500,39.4767,142199418,0.2609
2021-08-31,46.6200,47.7400,45.9900,47.6800,42.1079,104454158,0.0000
2021-07-30,44.3200,46.9300,44.1650,46.3800,40.9598,102932732,0.0000
2021-06-30,43.4800,45.8100,43.2800,44.3300,39.1494,94977860,0.2854
2021-05-28,42.8700,43.4100,41.0200,43.2600,37.9633,105554103,0.0000
2021-04-30,39.6800,42.8100,39.4700,42.7700,37.5333,82926608,0.0000
2021-03-31,37.7600,40.0000,35.8900,39.4900,34.6549,130129281,0.3823
2021-02-26,36.9900,38.9000,36.5200,37.3400,32.4474,67858899,0.0000
2021-01-29,36.6400,37.6900,34.6500,36.7600,31.9434,90856182,0.0000
2020-12-31,36.8700,37.3600,35.3000,36.5600,31.7696,64992433,0.4663
2020-11-30,34.5300,39.1100,34.2900,36.5000,31.3080,98337884,0.0000
2020-10-30,35.4000,37.2500,33.7100,34.1500,29.2923,84788507,0.0000
2020-09-30,36.1400,37.5150,33.7400,35.2700,30.2529,101437242,0.2130
2020-08-31,36.1300,36.7500,35.1701,36.2500,30.9024,69560440,0.0000
2020-07-31,34.9500,36.6000,34.3600,36.2600,30.9110,134150072,0.0000
2020-06-30,34.6200,37.8600,33.2600,34.8100,29.6749,109529703,0.2704
2020-05-29,33.0900,34.9100,30.0300,34.6500,29.3119,123154325,0.0000
2020-04-30,29.6000,35.9500,28.4800,33.9200,28.6943,222679433,0.0000
2020-03-31,36.9700,40.1400,24.8800,31.0000,26.2242,334485526,0.2018
2020-02-28,39.3900,42.0000,35.6930,36.7900,30.8774,137240651,0.0000
2020-01-31,38.7900,40.2100,37.8850,39.2300,32.9252,87118079,0.0000
2019-12-31,38.5500,38.7100,37.2600,38.6700,32.4552,83224052,0.4130
2019-11-29,39.3800,39.5150,37.5500,38.6500,32.0919,69811252,0.0000
2019-10-31,39.3000,40.3400,38.5300,39.3300,32.6565,79715432,0.0000
2019-09-30,39.1500,40.1400,38.4650,39.3400,32.6648,91781945,0.2632
2019-08-30,37.5200,39.3900,36.6200,39.2100,32.3392,105256320,0.0000
2019-07-31,36.9500,38.3100,36.2850,37.4100,30.8547,91234852,0.0000
2019-06-28,36.6000,38.6200,36.1000,36.7700,30.3268,85502765,0.3028
2019-05-31,36.0600,36.9900,35.2600,36.4700,29.8401,75859489,0.0000
2019-04-30,36.2700,36.7100,34.8250,36.0300,29.4801,77910943,0.0000
2019-03-29,34.7700,36.3070,34.2650,36.2200,29.6356,93941919,0.2035
2019-02-28,34.3800,35.2200,33.6700,34.7100,28.2380,85779433,0.0000
2019-01-31,30.8000,34.3900,30.1100,34.3300,27.9289,122724719,0.0000
2018-12-31,33.9000,34.5000,29.5200,31.0000,25.2198,159212903,0.3686
2018-11-30,32.1800,33.8850,31.5800,33.8500,27.2143,87909835,0.0000
2018-10-31,32.6100,32.7500,30.6500,32.0900,25.7993,106059987,0.0000
2018-09-28,33.7800,33.9600,32.0700,32.6100,26.2174,38899396,0.3501
2018-08-31,32.8000,34.1350,32.6500,33.8500,26.9299,53328204,0.0000
2018-07-31,32.6700,33.3500,32.1400,33.0500,26.2934,56288683,0.0000
2018-06-29,31.5700,32.8600,31.2850,32.7100,26.0229,59265607,0.2686
2018-05-31,30.9400,31.8100,30.4300,31.5800,24.9115,46733895,0.0000
2018-04-30,31.1200,31.3400,30.0330,30.8900,24.3672,76180652,0.0000
2018-03-29,30.1200,31.4150,29.6100,31.0800,24.5170,109914708,0.1833
2018-02-28,32.2100,32.4200,29.1700,30.1100,23.6134,108788282,0.0000
2018-01-31,32.9900,33.0400,31.1030,32.3100,25.3388,44478704,0.0000
2017-12-29,33.5100,33.6800,32.1500,32.9400,25.8328,32062623,0.3650
2017-11-30,32.5500,34.0238,32.4150,33.4500,25.9474,37159494,0.0000
2017-10-31,32.2800,33.1170,31.8650,32.5000,25.2105,36118804,0.0000
2017-09-29,32.9600,33.4600,31.8800,32.2400,25.0088,34217732,0.2356
2017-08-31,32.6500,33.0400,31.8244,32.9200,25.3556,31226168,0.0000
2017-07-31,32.3400,32.7700,31.2100,32.5900,25.1014,36087316,0.0000
2017-06-30,31.8700,32.8350,31.7246,32.2000,24.8010,56492265,0.2718
2017-05-31,31.7000,32.3482,31.1400,31.8600,24.3352,37807066,0.0000
2017-04-28,31.6600,32.5906,31.4500,31.6500,24.1748,36392669,0.0000
2017-03-31,32.0600,32.2475,30.5400,31.6000,24.1367,54173746,0.1977
2017-02-28,30.6700,32.3501,30.3200,32.1400,24.3940,42562932,0.0000
2017-01-31,30.8600,31.5500,30.3700,30.7100,23.3087,38073979,0.0000
2016-12-30,29.8200,31.4800,29.4100,30.7500,23.3390,43538579,0.5513
2016-11-30,30.8700,30.9010,29.0735,30.0100,22.3722,52091879,0.0000
2016-10-31,32.6600,32.7000,30.3553,30.9500,23.0729,45375299,0.0000
2016-09-30,33.5100,33.9000,31.6500,32.7700,24.4297,58423312,0.1775
2016-08-31,34.7100,34.8200,32.9000,33.3800,24.7547,1213846,0.0000
2016-07-29,33.8300,34.7700,33.3283,34.6780,25.7173,1412852,0.0000
2016-06-30,31.7500,33.6000,31.6340,33.5900,24.9104,108349,0.2659
2016-05-31,31.1900,33.1900,30.9852,31.9200,23.4779,82776,0.0000
2016-04-29,32.0228,33.1499,31.0101,31.3800,23.0807,89043,0.0000
2016-03-31,29.8000,32.3300,29.7900,32.1600,23.6544,201688,0.3030
2016-02-29,29.6070,29.8101,27.0707,29.3300,21.3671,24371,0.0000
2016-01-29,30.9800,31.3830,28.1199,29.1900,21.2651,37485,0.0000
2015-12-31,30.9800,31.5900,29.9200,31.1840,22.7178,81520,0.3400
2015-11-30,30.9500,31.6000,26.7000,30.7500,22.1534,315773,0.0000
